Name,Comment,Rating,
Tsnky53,"Blue dream is definitely a strain that will quickly make it to your favorites list! With that being said, this strain can be used during both day and night. I noticed that if you smoke a little bit, you'll get more sativa effects and If you smoke a good bit, the indica effects take over. This strain is great for pain, stress/anxiety, appetite issues, sleep issues and much more! No matter how much you smoke, you'll feel great and euphoric! I always have to pick this up when I find some! Great strain 4/5! :)",4,blue-dream
reefmaster44,"Blue dream is a jack of all trades hybrid strain for me. it's everywhere, cheap, tastes good, smells good, looks good and has good effects. the best part is that both indica and sativa effects can be felt. it's not my absolute favorite strain but I will never say no to blue dream!",5,blue-dream
Genevieve_Pearle,"This is the only strain I feel safe vaping before I work. Calmly eases my anxiety and depression without taking any of the sharpness from my mind or distracting me. Makes me feel poised, ready, and confident to take on my day.",5,blue-dream
tjcastello14,"Just an all around incredible high. I love analyzing highs and this was by far my favorite to enjoy and contemplate. This is the most flawless 50/50 hybrid imaginable. You are able to control the high whatever way you like. Helped my anxiety, my depression and my headaches. Best of both indica and sativa. Strongly recommend to anyone :) ",5,blue-dream
rollingman,this weed made me get into an argument with my stuffed animal so yeah I'd recomend it ,5,blue-dream
pecur,I love this strain. GREAT day time hybrid. Makes u feel like u've just scratched a spot on your back that you could not reach for days and it's been itching you like crazy. I am running out of words here to describe how good your whole body and mind feels after medicating with this. The high is on the border of &quot;functioning and couch potato&quot; and you can control it as you want and go either way. Beautiful stuff !!!,5,blue-dream
MigraneousRex,"Love, love, love this strain! Taste is a nice balance of berry and pine, fast and hard hitting, great for migraine relief and a pleasant high recreationally. Hits me almost more like an Indica, and gives me an almost psychedelic high with amazing closed eye visuals. No other strain does that to me.   Also a great horny strain. My god. ",5,blue-dream
joshdecano27,"This strain will wash away your stress and anxiety by sending waves of heat throughout your body. All of your limbs become tingly as if they are all asleep. Your nose and lips become numb and your moth feels like your holding two cotton balls in your cheeks. The room feels like its spinning, but in a good way. Every time you move your head it either feels like your moving in slow motion or high speed. Behind your eyes you can feel a slight pressure, as if your brain is polling your eyes back into your scull. All of the joints in your body begin to fell heavy, pulling you deeper into whatever you are sitting in. Instantly all pain in your body is gone and waves of happiness and relaxation start run through your body. In your head you feel euphoric and uplifted. Your whole body feels locked into place while at the same time energetic. Blue Dream is a great working manâ€™s strain because itâ€™s the perfect balance of sativa and indica. Over all this strain is excellent for stress and depression and everyone should try it at least once.",5,blue-dream
JboneAK,"Recently I've come to grips with having a frustratingly high tolerance, some times struggling to get high. I was no match for Blue Dream. I'm going to attempt to consume and write this, so perhaps the quality of the review is the review itself. See. I'm zoning already.   Visual: Straight off it looks very sativa, with its long hair and slender sexy features. Super sugary and quite sticky when busted open. Well manicured, so tops for aesthetics.   Smell: Opening the bag, it smells like a stinky spicy cheese. Busted the nug and it was super pungent diesel inside. Dank scent for sure.   Now I busted the nug in half and ground it up in my Kannastor and got some super gritty sticky bong load. Loaded a solid pinch in the bowl and lit it with hemp wick. It burned quick and evenly, and had my Silika beaker opaque in about a half second.   Pulled the slide and cleared it. I wasn't ready. I'm looking at my notes now and I very sloppily wrote &quot;holy shit.&quot; I stand by that. Stoned, stunned, stupid. Thick, billowy, diesel flavored clouds of smoke, not too scratchy on holding it in and forgivable on exhale. About five minutes later great euphoria and relaxation dragged it's nails down my back, I just want to sit down, can't cause I got bong rips to do. Next thing I know I'm feeling pumped, focused. Taking notes for science now. Ten minutes since first rip and my arms are heavy as shit, and I'm standing so and can't just lay em on the couch. Gonna have to carry em. Slammed two more bowls. I'm stoned and I'm sitting down.   Blue Dream is definitely going to be a regular for me. ",5,blue-dream
dvianthippy,"perfect...just perfect, highly recommended in the morning with a cup of joe! ",5,blue-dream
vengeurban,"this bud will have you soaring! I've been smoking regularly for 1 year now and when I got this bud I didn't know what strain it was so I loaded my bong bowl FAT. Blue dream is really kiefy so I put a bunch of kief on top of my already bulging bowl. smoking a bowl of &quot;regular&quot; loaded as fat as this one will get me pretty damn high so I thought nothing of it. The smoke was a wee bit harsh and near the end of the bowl I started coughing more frequently. as soon as the bowl was finished I could no longer gauge time accurately and a sense of euphoria came over me. I knew at this point that I was going to be REALLY high for a pretty good amount of time. I laid down on my bed with my chest up and my arms spread out and euphoria just began to wash over me. my body was completely relaxed and my heart rate began to pick up. I've never had good eyesight but now my eyesight was crystal clear. colors seemed richer and the light from the sun shining through my window was just transcendent. since then I've had a lot of spiritual experiences after smoking this bud. this high really lifts my spirits and even long after the obvious effects of being high are no longer felt, the happiness, energy, and a sliver of euphoria are still there. I can't even describe it. just go buy some and smoke it for yourself. hands down the dopest dope I've ever smoked. -Saul Silver",5,blue-dream
afera,"I met the love of my life with this strain and it has been my favorite ever since. Sativa like conversation, aphrodisiac, indica like body high (in higher doses). Amazing taste and perfect all-day strain. ",5,blue-dream
chroniccannabisconsumsr,"Super common strain over here on the east coast, a lot of this strain even gets sold under different names but are textbook examples of blue dream. And its popular for good reason.  The balance between cerebral and body are awesome. Relaxing but not a knock-out punch. Uplifted without anxiety or paranoia. Awesome for mid-day or evening use but not bad for morning either in smaller amounts.  Smells of sweet blueberries with herbal undertones.  Most nugs are big, fluffy, and conical.  The best blue dream ive encountered, however, was solid as a rock.  Either way this is a highly recommendable strain and its easy to see how it became an instant classic.  ",5,blue-dream
Trogdor1597,-----------INTRODUCTION--------- To start this off I'll say this strain is wonderous. So I hit up my dealer asking what he's got and he tells me he has Blue Dream. I quickly  text back that I'll take some but I say it in a way that'll make me seem like I ,5,blue-dream
potprincess2000,"This strain was a staple in Bay Area weed culture in the 2010's. I can't remember who WASN'T smoking it. This is a common but classic strain with strong medicinal and spiritual properties. Recently I've been getting buds with a rich rosey lemon phenotype. It really is one of the most delightful weed scents that I've ever smelled.  Blue Dream is very relaxing and provides an uplifted almost philosophical high. I started pairing this bud with my yoga not too long ago and it really helps to deepen my practice and mind-body connection. Meditation and Blue Dream go hand in hand as well. The reason I'm giving this only 4 stars instead of 5 is because this has a very high THC content and can be very strong, catching you by surprise at times. I've gotten paranoid a few times and in higher doses you can really feel the Haze which isn't always conducive to focusing and getting lots of work done. Follow me on IG @weedtalkmtl for more cannabis culture and content.",4,blue-dream
tvist,"My favorite strain, I use it for my clinical depression and it really helped me feel like a person again. This strain changed my life for the better, if you have depression, anxiety or get easily stressed out I highly reccomend you try this strain.  As this strain helpped me snap out of a really bad deppression cycle that was making life really hard.  I give it a 5/5 :)",5,blue-dream
jkamaya,What can I say about this fantastic strain? Blue Dream is the difinitive strain of everything I would look for. This is uplifting in every way. I am always exuberant throughout smoking a joint with the infamous blue dream. This also can lull me into a nice and perfect slumber. I do recommend everyone to try this! _Ÿ˜ç  ,5,blue-dream
mcwriter,"It's always been a favorite. The sweet/citrusy flavor - which translates REALLY well to BHO, etc. - and the real pleasant fuzziness of the high is just so refreshing. It's like finding a great pale ale or pilsener beer in the middle of an aisle of depressing and humungously-high-alcohol porters or stouts. I can relax and watch tv, or work out in the yard, or go to the store, whatever. Happy and cool. I would recommend it any time you find it. It's resilient too. Even if it's a bit too dry you still get great flavor, not that grassiness I've gotten with (example) Headband (if it's not done right, of course).",5,blue-dream
themermaid805,"Lineage: Super Silver Haze x Blueberry  Blue Dream is said to have been bred originally in Santa Cruz Ca This cut truly shows the Cali blue flavors that just make your mouth water, light and airy with a blueberry splash. One of my personal favorites,  with a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. Nice soaring Sativa with a heavy Indica ground. It's great medicinally for anxiety, Body Pain, Glaucoma, Headaches,depression, nausea, and digestive issues.",4,blue-dream
SomeguyAZ,This is called Platinum Blue Dream and it is awesome. Very good pain management and a pleasantly relaxed feeling.,4,blue-dream
Strainge,"Nice mild high.  Helped cut through my PTSD and anxiety without making me feel like I was tripping balls.  Lovely taste, evocative of mangoes - something I've never encountered in a strain before.",4,blue-dream
EdibleEm,"Today's go-to for a blast and a boost! Enjoyed this one with my coffee and got a punch to get moving through the morning. Good one for fatigue and depression although high thc might make someone burn out quicker if they aren't used to that. No nausea with my pills, moderate direct pain relief, good motivation, good energy. Kinda made me cough, didn't taste as sweet to me as the description says but could be anything including my 40 year old tastes lol It feels like one of those strains that if I smoked too much at once I'd get a headache so for me it's a good one for doing some errands, puffing with a cup of thc Earl Grey for a little rest, and then getting the drive to get back to chores or errands. Maybe also good for getting through a big job- like out here we sometimes have to chop firewood and when you have a lot of pain &amp; mood issues this strain helps me get busy and keep going for quite a while without being tired and grumpy. Dry mouth is an issue, take a water bottle lol I sure do like my sativas :)",4,blue-dream
Always_pearled,"Oh man! This was my very first time smoking blue dream. I had read a lot about it, my friends talked about it a lot, I've heard songs written about it e.g. Jhene Aiko...so let's just say that I was anticipating a really good time. And that was exactly what i got...and more! This strain is soooo relaxing! I had absolutely zero worries. I smoked a blunt of this with a friend, vaped some in my Airis Viva (a vaporizer that i really recommend, you can really taste the flavor out of the bud using this little baking vaporizer) and i was LIT! I'm talking super heady high, high levels of euphoria, creativity...amazing! I might have just found a competitor for my beloved Girlscout.  Negatives? Who am I kidding? I can't think of any! Would highly recommend this strain to all! Absolutely zero paranoia, zero anxiety, just pure fucking joy.",5,blue-dream
Shayluv,My go to always first;) such a good smell and taste with all those sweet smells and  shinny buds how could you not wanta taste a blue dream;)beware::: there was fake blue dream going around awhile ago at more then one despenscensery in the d,5,blue-dream
R17,bro im so baked rn,5,blue-dream
craig_DC,"Blue Dream is my go-to strain for my everyday fibromyalgia pain and muscle spasm medicine, it is gentle enough to use very day and throughout the day. It is a nice hybrid, with the muscle spasm easing effects of a indica, and the euphoric, headache easing effects of a Sativa without anxiety effects. I use it when I wake up to get moving, and even use it to help me sleep. I recommend this for muscle spasm issues, depression and anxiety, pain, and other general health issues. Gentle, yet effective.",5,blue-dream
CH33SE,"Suffer from chronic pain, stress, anxiety, etc? Try this strain for a daytime medicine. Suddenly after smoking this beautiful flower, I no longer cared about all those idiots on the news, people fighting over everything, most of all I felt a very smooth ease of ALL stress and anxiety, and suddenly the chronic pain I have to deal with because of the incompetence of a surgeon, was managed successfully!!! Best medicine out there!",5,blue-dream
trixxi,"I finally got to try this strain after hearing so much about it, it did exceed my expectations. It is a hybrid, focused high that came as a creeper that was more of a distracted ... Oh wait, I am REALLY high now. Smoke was sweet without too much flavor; high was enjoyable, lasting and thoughtful. This is a strain for lifting one's spirits and elevating one's mood into a more happy and light hearted stance. Great for after work or when you want to laugh with friends roll a joint of this and pass it around!",5,blue-dream
slug2,Great for enhancing sex and foreplay!,5,blue-dream
paintergirl,"A perfect hybrid.  Can be couch trippy or active and happy.  I find this strain to be very 'steerable', so when I need to change set/setting, this strain works with almost whatever I'm doing and it is my go to strain when I need a little assistance getting my mind and body in the mood for love.  It leaves me with tell-tale stoney face, so I don't use it when I have need to be an incognito partaker.  Blue Dream will lower my eyelids and blow my cover every time.  I can get the munchies with this one, so I have to work to keep that in check.   Blue Dream was my first flower ever smoked and she gave me a beautiful hallucination on that first time.    She'll always be in my favorites and since she was my first, I recommend her to other new newbies as well.",5,blue-dream
HASHTAGHiDef,Great strain all around however it made me lose my remote control for 3 hours causing me to burn to cookies i was baking. Would recommend to anyone with cookies to spare. Also ate an entire roll of toll house cookie dough straight from the fridge and that upset my stomach quite a bit but after more blue dream i was good as new aside from the  raw cookie dough induced diarrhea. Also was out of milk ,5,blue-dream
jjjallen,Bd made me feel like I was a whole person.  Which is a nice way to feel.  The whole point of weed is so you can be yourself and deal with the Nazi's later.  ns,5,blue-dream
clorbager,Wow such a mellow high so calm and relaxing just gives me such the most uplifting relaxation and depression goes away. I feel great :),5,blue-dream
DayTripper7711,"Blue Dream was the 1st strain of cannabis I LEGALLY consumed when I moved to Seattle, WA from the east coast. I had always dreamed (no pun intended) of trying Blue Dream after reading about its Enormous Popularity.  When I finally did get the opportunity to indulge in this heavenly strain needless to say, I was not disappointed. The bud were visually stunning; a plethora of trichomes glisten over the light green colas. The aroma was also utterly intoxicating, an almost sensual mix of spice and berry. The effects aren't typical of strains with sativa heavy genes as it tends to be very relaxing and body oriented with only mild cerebral invigoration.  ",4,blue-dream
KindGodess420,"_Ÿ_€My All-Time fav Wake 'n Bake Vape by SELECT_59.33% Thc (0% Cbd)..love the UP FUN HAPPY I-can-do-Anything energy from the famous BD_Ÿ’™..my acute Chronic Pain and Fatigue are helped with just a few vapes every few hours.. off to AM Yoga (with ease) then let's Play Create, Do errands/cleaning or just BE..OMM..âœŒ&amp; JAH..Be Well....",5,blue-dream
pluran,"Pure positive energy, mellow but deep with potentially soaring euphoria and happiness. Smooth, clean, nothing unnecessary...........cool as the other side of your pillow. You might end up with a slight headache about three hours in, but no big deal. Mine is 30% THC. Highest level in Oregon I was told. Hmm.",5,blue-dream
DankNunuFresh,"Very mellow, i was very relaxed and happy. I was going to give it a 4 star but it gave me a more intense warm vibration feeling then my usual vibration feeling, so I was very generous and gave it a 5. I would recommend it :)",5,blue-dream
JacobMinen,Dank,4,blue-dream
KindGodess420,Blue dreaming the smoke of One Love.    ancient ones hear The Dream.       Rise Up your minds our hearts.      Beings One We the answer.    Peace the Dream Love Blue smoke Rising for All..........,5,blue-dream
JDukart13,"Smoked almost a whole ounce of this strain yesterday with some buddies of mine, had an amazing time. It was crazy how high I was, but still aware of my high and my feelings. I was focused and very able to just communicate with people. Overall amazing strain and would definitely smoke again. ",5,blue-dream
avillax,"What it does: It gives you baby dreamy well-being sensations. You remain clear-headed the whole time, interesting, your field of vision gets a haze like a dream, maybe that's why they call it Blue Dream? It has haze parent so maybe the name haze is because it does give a haze!  The flavor and smell is really blueberry, very nice!  You feel gentle, cute and dreamy like a baby, not really much Sativa energetic feel to it, really, I guess it's sativa influence is only good enough to get you through the day. Very mellow and manageable no matter how much you smoke, def. for newbies.  Good for: Nature, listening to music, anxiety/stress relief, long walks.  What it lacks: It has no energetic, euphoric, speedy, giggly sativa effects.  It doesn't make you horny.  It doesn't give the munchies.  Not an aid for socializing as you feel delicate, gentle, baby like.  Not very introspective.  Didn't make me laugh although many people say it does.  I would generally call this strain Baby hugs, that's how you feel, maybe good for the night but if I just want to feel good for the day and socialize there's nothing like Durban Poison.",3,blue-dream
ajr819,"Blue Dream is the toker's weed. It is not the strongest, not the trippiest, not the drowsiest, not the most social... it isn't super great for any one particular ailment. Blue Dream will boost your mood and relax your body while still allowing you to maintain public normalcy. Blue Dream doesn't MAKE you feel a certain way, it simply allows you to choose how you want to feel at any given moment, and then magnifies it. It is truly a staple to have in the medicine cabinet. Don't take if you are smoking to go to sleep.",5,blue-dream
Camlin,"This Blue Dream was grown by Equinox, a co-op of farm growers in Wa State.  Potency analysis:  THC-A 18.8%  THC .65% Total 20.1% CBD .71%  Method of delivery is Extreme Q vaporizer. I love the blueberry taste left on the lips and aftertaste.  It's very smooth and sweet.  My body felt very relaxed.  The high creeps up on you, very relaxing.  I've got a mountain of stress going on in my life right now and this stuff makes the anxiety go away without making me sleepy.  My neck muscles are starting to uncramp.  I highly recommend this for anxiety, stomach pain, and muscle spasm.",5,blue-dream
crummyrex,nobody can ever dislike blue dream. everybody lives blue dream.,5,blue-dream
hunter9231,"â€¢ this amazing (curaleaf) T-20.8% Blue Dream reminds me of a Norman Rockwell painting in oh-so many ways! It is forever _Ÿ¥‡ of the Very Best! â€” an almost- serendipitous strain that always seems to know Just* What* Consumer* Needs*.. &amp; does just~that! ..she rebalances + manages to cure my woes, fix my booboo â€” just like in Norm's art. â€¢  â€¢ Awoke today w/awful headache â€“ but entrusted to my sweet, smooth, perfectly balanced, true-hybrid blue dream, it was gone within mins of vaping her loveliness, &amp; she REstarts my day â˜€ï¸è pain-free + perfectly!â€¢ _Ÿ‘Œ_Ÿè» â€¢ Impressive terpenoidal profile lends to delicious flavors of _ŸŒ_ _Ÿç‹ _Ÿç‡ _ŸŒ¸ â€“ uniquely_ŸŒ_floral &amp; tropically _ŸŒ´fruity, taste is _Ÿ’£â€¢  Gently euphoric &amp; overall warming, this 5â_êï¸è-strain should be enjoyed by â˜ùï¸è+All, THC-considerate + appropriate, as always â€¢ Must say too, can be very arousing|aphrodisical for added bonus! â€¢ _Ÿ‘Œ_Ÿè»âù_ï¸èâœŒ_Ÿè_",5,blue-dream
deathtojarjar,"Blue Dream is personally one of my favorite strains to smoke.  It makes you feel happy, relaxed, but slightly energetic.  It isn't too overpowering that you can't focus on other things while you have the high, but I personally just like to kick back, watch a movie, and enjoy.  I have also noticed that this strain really does make a person aroused.  It hits you fast.  You could be miles away from being in the mood, then BAM.  I highly recommend this strain.  The high lasts a long while and a little goes a long way, so my supply lasts a lot longer than my other strains.  I sometimes like to mix it with Girl Scout Cookie Hybrid,",5,blue-dream
413SatiVa,Blue dream is a great morning or social strain. It literally gave me energy and made me talkative. I have bad anxiety and almost never want to speak but with this stuff I do. For me though I prefer to more feel my high rather than experience it. It just doesn't get me very &quot;high&quot; it just alters my mood and perception mostly. Good for those lookin for a pick me up or something mild.,4,blue-dream
MarijuanaWriter,"The Farm Craft Cannabis Dispensary  in Boulder Colorado sure knows how to grow! The Blue Dream I smoked from there was not to be cheesy but, it was dreamy. It grabbed me by the booboo with the first puff off my bowl. Being a fan of Kush strains the Blueberry Indica and Haze genetics were a pleasant surprise. A great head and body high all the way around. It would have gotten a 5 but I thought the taste profile could have stood out more but that could just be me. If you get a chance to try some Blue Dream I would recommend it HIGHLY. Blue Dream is Marijuana Writers 420 approved!",4,blue-dream
bongripper69k,at 24% THC its really potent and great test awesome for my anxiety and chronic pain. one of my favorite strains,5,blue-dream
frogstomp,"Kicked my migraine on this!!!  After 2 Maxalt I was still in enough pain to go to the ER.  The last thing I felt like doing was vaping, now I know to vape as soon as the migraine hits.  This is a nice mellow high with less cerebral more body.  It is ok for beginners and would be great for headaches, anxiety, pain and depression.",4,blue-dream
